date;text
2020-11-22 23:55:07;@tatort kam im murot-#tatort wirklich kein einziger migrant vor oder habe ich das geträumt? dürfen die das?
2020-11-22 23:42:16;kein pumpernickel-tatort... oder? 👍 #tatort
2020-11-22 23:42:08;"rt @afd_muenster: wenn #jana nicht -wie der ""#ordner""- u-boot ist, war's eine für linken lynchmob typische -hysterische- hexenjagd. ""#sophi…"
2020-11-22 23:36:29;"rt @tatort: der gesichtsausdruck, wenn du weißt, dass du auch ne affäre mit der nachbarin haben kannst…

#tatort https://t.co/hpfabvhzvf"
2020-11-22 23:35:48;"rt @tatort: wie hat euch der tatort heute gefallen? hattet ihr ein gutes ferien-feeling? eure schulnoten bitte.

#tatort https://t.co/taugk…"
2020-11-22 23:32:09;"rt @afd_muenster: wenn #jana nicht -wie der ""#ordner""- u-boot ist, war's eine für linken lynchmob typische -hysterische- hexenjagd. ""#sophi…"
2020-11-22 23:30:43;kam im murot-#tatort wirklich kein einziger migrant vor oder habe ich das geträumt? dürfen die das?
2020-11-22 23:25:52;@lahor_jakrlin @srf mir hat der #tatort auch gut gefallen. nach thiel/boerne wieder eine nicht allsonntägliche humoristische folge. ab und zu komödie bringt auflockerung. zuviel will ich hingegen nicht. der tatort #zuerich soll realistisch daherkommen. geben wir den neuen #srf ermittlern eine chance
2020-11-22 23:18:05;"rt @afd_muenster: wenn #jana nicht -wie der ""#ordner""- u-boot ist, war's eine für linken lynchmob typische -hysterische- hexenjagd. ""#sophi…"
2020-11-22 23:12:04;"rt @afd_muenster: wenn #jana nicht -wie der ""#ordner""- u-boot ist, war's eine für linken lynchmob typische -hysterische- hexenjagd. ""#sophi…"
2020-11-22 23:02:34;@peterschaerli beim #tatort zappt man dann höchst selten weg. 😅
2020-11-22 23:01:11;"rt @crazy_borg: #tatort
da haben sie echt für den autohandel die exotischten autos zusammengestellt. ein weiterer ro 80, ein lancia thesis,…"
2020-11-22 23:01:04;rt @k_luep: ein ro 80!! es lohnt sich wenigstens wg der autos, den #tatort zu sehen
2020-11-22 23:00:48;"rt @tatort: ärzteweisheit: „lass uns noch einen verlöten, vielleicht sind wir morgen schon flöten.“

#tatort"
2020-11-22 23:00:46;rt @mia_colt: tukur hat diesem drehbuch vor allem zugestimmt, weil er all diese tollen autos fahren wollte. und weil das drehbuch gut ist.…
2020-11-22 23:00:38;"rt @plappersaurus: ich wiederhole mich...die schönsten autos - nur bei murot.
hessen haben eben geschmack.
#tatort"
2020-11-22 23:00:12;@tatort war mir echt zu viel, auch wenn murot eigensinnig ermittelt, hätte dieses vorgehen vor gericht keine chance. ein verantwortungsbewusster beamter wäre nicht so vorgegangen. und mit der täterin abgehauen ist er auch. war das sein letzter fall? eher note 5. #tatort
2020-11-22 22:59:37;rt @racontep: @tatort das war ein herausragender #tatort mit guten spannungselementen und wundervollen autos. leider war der plot etwas vor…
2020-11-22 22:54:58;@tatort als ich murot sah, habe ich weg geschaltet. ein guter abend ohne #tatort
2020-11-22 22:50:40;'sickening' test and trace tex...  check at https://t.co/uekqqd0hpk follow @insubcontinent also trndn #tatort #tvog #rannfl #grilldenhenssler #dissapointyourfamilyin5words murot firmino griechischer wein weihnachten simon whitlock
