date,text,place
2020-11-26 16:32:34,"[3]
... bis wir uns mal endlich von corona erholen.
wie versessen seid ihr idioten eig. darauf, die schulen offen z… https://t.co/vwijyrv5fg",Stuttgart
2020-11-26 16:30:38,rundgang in der stuttgarter city: kommt weihnachtliche stimmung trotz corona auf? https://t.co/nzkbqagh5k,Stuttgart
2020-11-26 16:14:32,@ruznam7 @eyuub_ vallah ich auch bruder wegen eyup und teji einfach nach der chall hab ich corona bekommen,Stuttgart
2020-11-26 16:12:35,"#corona inzidenz über 600 im landkreis #hildburghausen
wegen der unfähigkeit der politik rennen wir von einem rekor… https://t.co/nfyeuxyhju",Stuttgart
2020-11-26 16:12:33,rundgang in der stuttgarter city: kommt weihnachtliche stimmung trotz corona auf? https://t.co/eunslf17vh,Stuttgart
2020-11-26 16:09:05,"boris palmer ist kein fan der corona-strategie:
https://t.co/0zlfcd2rh0",Stuttgart
2020-11-26 16:06:51,"update: coronavirus (stand: 26.11.2020 / 16:00 uhr)
um 122 ist die gesamtzahl der covid-19-fälle seit gestern im la… https://t.co/ve0nojhy9g",Stuttgart
2020-11-26 16:04:41,"@holmenkollin @arroganzlehr dinge, die man auch ohne corona zu lehrern sagen kann",Stuttgart
2020-11-26 16:04:22,"ach du sch****! forschende können anhand des abwassers vorhersagen, wo das #coronavirus als nächstes zuschlägt. erf… https://t.co/lw1fljnuf9",Stuttgart
2020-11-26 16:01:35,"wir setzen der den vorschlägen der regierung bei der eindämmung der corona-infektionen, ein alternativkonzept entge… https://t.co/vjgrcegsct",Stuttgart
2020-11-26 15:58:58,"„die derzeitige entwicklung der corona-infektionen zeigt, dass die bisherige strategie nicht genug bringt, um die e… https://t.co/ilslfgdd3k",Stuttgart
2020-11-26 15:56:35,anti-corona-maßnahmen: psychologin: mehr empathie bei politikern https://t.co/cd2gkewxkf,Stuttgart
2020-11-26 15:55:23,"""mit und an corona"" heißt nichts anderes, dass die tatsächlich an corona verstorbenen sehr gering sind.

jeder tot… https://t.co/iot5az5jpx",Stuttgart
2020-11-26 15:54:40,aktion weihnachten: rückblick: corona bremst so manches projekt aus https://t.co/pqqgtfsscb,Stuttgart
2020-11-26 15:53:44,die kunden wollen ihren gesamten wocheneinkauf möglichst in einem laden tätigen #coronavirus #lockdown: https://t.co/r0l8me8xw4,Stuttgart
2020-11-26 15:49:53,corona: #kretschmann ruft zum durchhalten auf. @stimmeonline @regierungbw @fdpdvpfraktion @spdlandtagbw… https://t.co/62o3syckqp,Stuttgart
